PlayerName,Runs,BallsFaced,Sixes,Matches_Batting,Fours,StrikeRate,Wickets,Economy,Overs,Matches_Bowling,PerformanceScore
Fazalhaq Farooqi,3.0,13.0,0.0,2.0,0.0,23.076923076923077,6.0,8.960526315789474,25.333333333333332,7.0,150.15
G Coetzee,14.0,22.0,1.0,5.0,0.0,63.63636363636363,13.0,10.17910447761194,33.5,10.0,325.7
G Gambhir,4217.0,3404.0,59.0,151.0,492.0,123.88366627497062,0.0,0.0,0.0,0.0,210.85000000000002
GB Hogg,22.0,22.0,0.0,4.0,1.0,100.0,23.0,7.467248908296944,76.33333333333333,21.0,576.1
GC Smith,739.0,668.0,9.0,29.0,94.0,110.62874251497006,0.0,0.0,0.0,0.0,36.95
GC Viljoen,3.0,7.0,0.0,3.0,0.0,42.857142857142854,7.0,9.652173913043478,23.0,6.0,175.15
GD McGrath,4.0,5.0,0.0,2.0,1.0,80.0,12.0,6.611111111111111,54.0,14.0,300.2
GD Phillips,65.0,55.0,6.0,8.0,3.0,118.18181818181819,2.0,8.0,5.0,4.0,53.25
GH Vihari,284.0,321.0,1.0,23.0,23.0,88.47352024922118,1.0,6.714285714285714,7.0,6.0,39.2
GHS Garton,2.0,4.0,0.0,2.0,0.0,50.0,3.0,9.0,15.0,5.0,75.1
GJ Bailey,663.0,544.0,19.0,36.0,59.0,121.875,0.0,0.0,0.0,0.0,33.15
GJ Maxwell,2772.0,1769.0,160.0,128.0,233.0,156.69869983041266,37.0,8.281779661016948,157.33333333333334,79.0,1063.6
GR Napier,15.0,16.0,0.0,1.0,1.0,93.75,1.0,6.75,4.0,1.0,25.75
GS Sandhu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.25,8.0,2.0,25.0
Gagandeep Singh,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.071428571428571,14.0,4.0,75.0
Gulbadin Naib,19.0,15.0,1.0,1.0,1.0,126.66666666666666,0.0,12.0,1.0,1.0,0.9500000000000001
Gurkeerat Singh,511.0,422.0,11.0,32.0,55.0,121.09004739336493,5.0,7.461538461538462,13.0,6.0,150.55
Gurnoor Brar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,1.0,0.0
H Das,2.0,5.0,0.0,1.0,0.0,40.0,0.0,0.0,0.0,0.0,0.1
H Klaasen,993.0,590.0,64.0,32.0,56.0,168.3050847457627,0.0,0.0,0.0,0.0,49.650000000000006
H Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,5.0,2.0,0.0
HC Brook,190.0,154.0,4.0,11.0,23.0,123.37662337662339,0.0,0.0,0.0,0.0,9.5
HE van der Dussen,22.0,24.0,0.0,3.0,2.0,91.66666666666666,0.0,0.0,0.0,0.0,1.1
HF Gurney,1.0,5.0,0.0,1.0,0.0,20.0,7.0,8.814814814814815,27.0,8.0,175.05
HH Gibbs,886.0,807.0,31.0,36.0,83.0,109.78934324659231,0.0,0.0,0.0,0.0,44.300000000000004
HH Pandya,2534.0,1739.0,137.0,128.0,189.0,145.71592869465212,64.0,9.097320169252468,236.33333333333334,93.0,1726.7
HM Amla,577.0,407.0,21.0,16.0,60.0,141.76904176904176,0.0,0.0,0.0,0.0,28.85
HR Shokeen,66.0,65.0,0.0,5.0,9.0,101.53846153846153,5.0,9.235294117647058,34.0,13.0,128.3
